countryname_en,countrycode,fraction,participation ,population_2000,population_2014,population_2020,population_2030,population_2050,"average_monthly_disposable_salary_2014 - Quelle: Nationmaster, OECD",source for salary,unemployment_2013,gdp_pc_ppp_2012,gdp_pc_ppp_2014,gdp_2012,gdp_2014,gdp_growth_2014,important_industry_de,important_industry_en,Wirtschaftsleistung in der wichtigsten Industrie zum BIP,Wem gehört die wichtigste Industrie,wichtigste Handelspartner,co2_kt_2012,co2_t_pc_2012,total_primary_energy_production_2012,total_primary_energy_production_2008,total_recoverable_coal_2011,climate_change_performance_index,labeled
Cyprus,CYP,A,X,943287,1153658,1218000,1300000,1402000,1618.85,nationmaster,15.80000019,32553.54373,30873.18428,,23226158986,-2.255259091,"Textil, Pharmazie","textile, pharmacie",,,,7521,6.66,0.00245,0.00014,NA,8,
Czech Republic,CZE,A,X,10255063,10510566,10687000,10762000,10885000,1020.48,nationmaster,6.900000095,28674.48971,30444.94981,,205522871251,1.991617327,Autoindustrie,automobile,,,,109485.6,10.42,1.06354,1.04893,1159.63155,26,
Democratic People's Republic of Korea,PRK,D,X,22840218,25026772,25763000,26701000,26907000,#N/A,,4.599999905,,,,,,,,,,,73578.4,2.97,1.07574,0.90694,661.38682,,
Democratic Republic of the Congo,COD,D,X,48048664,74877030,90169000,120304000,195277000,351.83,nationmaster,8,652.0886216,745.8107511,,32962261156,9.046596161,"Diamanten, Gold, Kupfer","diamonds, copper, gold",,,,3425,0.05,0.12139,0.11955,97.0034,,
Denmark,DNK,A,X,5339616,5639565,5769000,5976000,6274000,3269.62,OECD,7,43560.06035,44862.50398,,341951607730,1.13429152,"Pharmazie, Schiffsbau","marine, pharmaceutics",,,,40377.3,7.22,0.78878,1.1007,NA,4,
Djibouti,DJI,D,X,722562,876174,947000,1054000,1186000,#N/A,,,2879.478847,3197.867819,,1581519706,5.499368447,Viehzuchtprodukte,stockfarming,,,,473,0.55,0,0,NA,,
Dominica,DMA,D,X,69679,72341,74000,76000,74000,513.89,nationmaster,,10330.60467,10698.5021,,537777777.8,2.42881072,Bananen,bananas,,,,124.7,1.74,0.00025,0.0002,NA,,
Dominican Republic,DOM,D,X,8562623,10405943,11107000,12087000,13238000,491.37,nationmaster,14.89999962,11734.6556,13262.29226,,63968961563,7.340878365,"Kaffee, Tabak","coffee, tobacco",,,,21888.3,2.16,0.01822,0.01392,NA,,
Ecuador,ECU,D,X,12628596,15902916,17338000,19563000,23013000,359.29,nationmaster,4.199999809,10465.66735,11349.70597,,100543173000,3.802080137,Kohlenwasserstoffe (Erdöl),hydrocarbons (petroleum),,,,35727.6,2.32,1.24672,1.23549,26.45547,,
Egypt,EGY,B,X,68334905,89579670,100518000,117102000,151111000,264.33,nationmaster,12.69999981,10247.6052,10529.9209,,286538047766,2.200000008,Kohlenwasserstoffe (Erdöl),hydrocarbons (petroleum),,,,220790.1,2.58,3.80967,3.76189,17.63698,24,
El Salvador,SLV,D,X,5811836,6107706,6231000,6408000,6390000,365,nationmaster,6.300000191,7856.246796,8340.99026,,25220000000,2,"Kaffee, Zucker","coffee, sugar",,,,6684.9,1.1,0.0357,0.03672,NA,,
Equatorial Guinea,GNQ,D,X,530896,820885,971000,1238000,1816000,1087.5,nationmaster,8,34177.64071,30583.38522,,14308094225,-3.107357222,"Kohlenwasserstoffe, (Öl)",hydrocarbons (oil),,,,6688.6,8.64,0.86433,0.92684,NA,,
Eritrea,ERI,D,X,3535156,5110444,5892000,7311000,10421000,#N/A,,7.199999809,1505.03071,1528.942826,,3857821138,1.70344118,"Kupfer, Gold","copper, gold",,,,520.7,0.11,0.00002,0.00002,NA,,
Estonia,EST,A,X,1396985,1313645,1290000,1240000,1148000,914.97,nationmaster,8.800000191,24735.51666,26355.36809,,25904874312,2.08261591,Telekommunikation,telecommunication,,,,18650.4,14.1,0.01406,0.00194,NA,46,
Ethiopia,ETH,D,X,66443603,96958732,111971000,138297000,188455000,249,nationmaster,5.699999809,1256.104384,1493.850787,,54797679658,9.936059663,Kaffee,coffee,,,,7543,0.08,0.06275,0.03229,NA,,
European Union,EUU,A,X,487977133,508314883,512221000,513803000,502910000,#N/A,,10.93021667,34935.34052,36244.03517,,18460645625272,1.294460806,"Automobil, Maschinenbau","automobile, machinecosntruction",,,,#N/A,#N/A,#N/A,#N/A,#N/A,,
Faeroe Islands,FRO,D,,46491,48221,49000,50000,52000,#N/A,,,,,,,,Fisch,fish,,,,568.4,11.75,#N/A,#N/A,#N/A,,
Fiji,FJI,D,X,811223,886450,915000,940000,924000,710.22,nationmaster,8.100000381,7438.667412,8112.557528,,4029989729,3.799808139,Zucker,sugar,,,,1235.8,1.41,0.00538,0.00527,NA,,
Finland,FIN,A,X,5176209,5463596,5569000,5669000,5710000,2924.1,OECD,8.199999809,40209.31735,39754.48524,,270673584162,-0.114098647,"Telekommunikation, Elektrotechnik","telecommunication, electronic industries. wood",,,,54766.6,10.12,0.49389,0.49868,NA,32,
France,FRA,A,X,60912498,66206930,67940000,70454000,73730000,2399.91,OECD,10.39999962,37255.70065,38847.45086,,2829192039172,0.1795630415,"Luftfahrt, Automobil","automobile, aviation",,,,338805.1,5.16,5.07565,5.15679,NA,12,
French Polynesia,PYF,D,,237267,279781,296000,313000,330000,1502.12,nationmaster,,,,,,,Perlenzucht,pearlfarming,,,,858.1,3.13,0.00164,0.00206,NA,,
Gabon,GAB,D,X,1231548,1687673,1917000,2321000,3164000,1704.12,nationmaster,19.60000038,17769.42557,19038.14575,,17228443336,4.300001939,Kohlenwasserstoffe (Öl),hydrocarbons (oil),,,,2236.9,1.39,0.53408,0.54639,NA,,
Gambia,GMB,D,X,1228863,1928201,2326000,3105000,4981000,39.37,nationmaster,7,1598.444287,1613.391649,,807069488.2,-0.200997693,Landwirtschaft,agriculture,,,,421.7,0.23,0,0,NA,,TRUE
Georgia,GEO,D,X,4418300,4504100,4378000,4129000,3730000,299.37,nationmaster,14.30000019,6822.698472,7581.978395,,16529963187,4.766442435,"Mangan, Kupfer","mangan, copper",,,,7931.7,1.77,0.07511,0.07259,221.56458,,
Germany,DEU,A,X,82211508,80889505,79798000,77174000,69448000,2604.33,nationmaster,5.300000191,43522.44436,45615.81119,,3852556169656,1.604381006,Automobil,automobile,,,,729458,9.07,4.80432,5.0783,44696.52101,22,TRUE
Ghana,GHA,D,X,18824994,26786598,30530000,36865000,50071000,351.22,nationmaster,4.599999905,3724.930442,4089.843226,,38648154100,4.178309265,"Kakao, Gold","cacao, gold",,,,10080.6,0.39,0.24627,0.07347,NA,,
Greece,GRC,A,X,10917482,10957740,10868000,10756000,10333000,1547.91,OECD,27.29999924,25462.35907,26098.81133,,237592274371,0.7742096092,Bauindustrie,construction trade,,,,84047.6,7.58,0.40822,0.38709,3328.98031,35,
Greenland,GRL,A,,56200,56295,..,..,..,2744.84,nationmaster,,,,,,,Fisch,fish,,,,707.7,12.46,0,0,201.72298,,
Grenada,GRD,D,X,101620,106349,109000,112000,110000,1250,nationmaster,,11244.65022,11944.23206,,882222222.2,1.513569937,Landwirtschaft,agriculture,,,,253,2.4,0,0,NA,,
Guam,GUM,D,,155328,167543,180000,200000,228000,2750,nationmaster,,,,,,,,,,,,#N/A,#N/A,0,0,NA,,
Guatemala,GTM,D,X,11688660,16015494,18015000,21424000,27754000,570.79,nationmaster,2.799999952,6978.304576,7453.702783,,58728232327,4.241584033,"Kaffee, Bananen","coffee, bananas",,,,11257.7,0.73,0.08247,0.08469,NA,,
Guinea,GIN,D,X,8799165,12275527,14355000,18276000,27486000,#N/A,,1.799999952,1218.986409,1212.766446,,6624068016,-0.3000102324,Bauxit,bauxite,,,,2596.2,0.22,0.00523,0.00516,NA,,
Guinea Bissau,GNB,D,X,1315455,1800513,2068000,2541000,3564000,#N/A,,7.099999905,1373.445927,1385.533085,,1022371992,2.540286296,Landwirtschaft,agriculture,,,,245.7,0.14,0,0,NA,,
Guyana,GUY,D,X,742218,763893,787000,821000,806000,209.33,nationmaster,11.10000038,6462.639764,7217.997204,,3228372888,3.828406874,"Gold, Bauxit","gold, bauxite",,,,1782.2,2.35,0,0,NA,,
Haiti,HTI,D,X,8549202,10572029,11378000,12578000,14189000,712.5,nationmaster,7,1613.34367,1731.797671,,8713031260,2.74985019,Landwirtschaft,agriculture,,,,2211.2,0.21,0.0015,0.00176,NA,,
Honduras,HND,D,X,6243080,7961680,8651000,9737000,11217000,522.86,nationmaster,4.199999809,4313.795801,4582.878062,,19385309986,3.483158037,Bananen,bananas,,,,8412.1,1.09,0.03134,0.02429,NA,,
"Hong Kong SAR, China",HKG,A,,6665000,7241700,7489000,7746000,7611000,#N/A,,3.299999952,51250.4847,55084.24481,,290896409544,2.501239094,Hightech,Hightech,,,,#N/A,#N/A,0.00076,0.00001,#N/A,,
Hungary,HUN,A,X,10210971,9861673,9730000,9460000,8889000,1286,OECD,10.19999981,22493.99771,24498.49428,,137103927313,3.635449748,"Maschinenbau, Fahrzeuge","engineering, automobile",,,,48492.4,4.89,0.37026,0.38636,1829.83686,14,
Iceland,ISL,A,X,281205,327589,348000,376000,403000,2176.15,OECD,5.599999905,40606.5184,43392.5496,,17071004499,1.871435484,Computersoftware,software,,,,1881.2,5.87,0.1658,0.16103,NA,13,
India,IND,C,X,1053481072,1295291543,1388859000,1527658000,1705333000,452.11,nationmaster,3.599999905,4948.330378,5707.653864,,2066902397333,7.416710026," Landwirtschaft, IT","agriculture, IT",,,,2074344.9,1.64,15.87429,13.65604,66800.06839,31,TRUE
Indonesia,IDN,C,X,211540428,254454778,271857000,295482000,322237000,304.25,nationmaster,6.300000191,9449.351454,10517.03006,,888538201025,5.024664957,"Gold, Kupfer","gold, copper",,,,563984.6,2.27,16.28221,11.43057,30883.45736,23,
Iran,IRN,B,X,65850062,78143644,83403000,88529000,92219000,447.61,nationmaster,13.19999981,16413.53481,16391.56247,,415338504536,1.458699313,"Kohlenwasserstoffe (Öl, Gas)","Hydrocarbons (oil, gas)",,,,586599,7.7,13.64393,13.35729,1236.79335,57,
Iraq,IRQ,B,X,23574751,34812326,40564000,50520000,70150000,572.85,nationmaster,16,14714.07455,14468.6497,,220505682865,-6.429101906,"Kohlenwasserstoffe (Öl, Gas)","Hydrocarbons (oil, gas)",,,,133654.8,4.08,6.44833,5.18267,NA,,
Ireland,IRL,A,X,3805174,4612719,4878000,5228000,5814000,1993.08,nationmaster,13.10000038,45241.99739,47803.9647,,245920712756,4.792533518,"Luftfahrt, Bleiwerke","aviation, lead",,,,36068.6,7.86,0.0595,0.05253,15.43236,10,
Isle of Man,IMN,D,,76806,87127,91000,96000,104000,831.39,nationmaster,,,,,,,Landwirtschaft,agriculture,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,
Israel,ISR,A,X,6289000,8215300,8955000,10119000,12370000,1842,OECD,6.300000191,31628.49584,33072.39899,,304226336270,2.766731966,"Chemie, Pharmazie","chemicals, pharmaceuticals",,,,69522.7,8.79,0.09497,0.05228,NA,,
Italy,ITA,A,X,56942108,61336387,61473000,61139000,59076000,2097.16,OECD,12.19999981,35524.89851,34757.84066,,2144338185065,-0.4260967666,"Maschinenbau, Fahrzeuge","machine construction, automobile",,,,397994.2,6.68,1.41416,1.14737,55.11557,17,
Jamaica,JAM,D,X,2589389,2721252,2812000,2913000,2843000,1080.44,nationmaster,15,8673.864199,,,,,Bauxit,bauxite,,,,7755.7,2.86,0.00356,0.0023,NA,,
Japan,JPN,A,X,126843000,127131800,125352000,120156000,108383000,2175.91,OECD,4,35598.08561,36426.30221,,4601461206885,-0.1044788898,"Maschinenbau, Fahrzeuge","machine construction, automobile",,,,1187657,9.31,1.56842,3.74981,382.50204,53,
Jordan,JOR,B,X,4797000,6607000,6987000,8027000,9780000,636.99,nationmaster,12.60000038,11543.80935,12050.30978,,35826925775,3.096330275,Phosphatabbau,phosphate,,,,22258.7,3.52,0.00881,0.00832,NA,,
Kazakhstan,KAZ,B,X,14883626,17289111,18294000,19421000,21104000,614.24,nationmaster,5.199999809,21891.72602,24204.66696,,212247913268,4.3,"Kohlenwasserstoffe (Öl, Gas)","hydrocarbons (oil, gas)",,,,261761.5,15.59,6.22146,5.55322,37037.66168,59,
Kenya,KEN,D,X,31065820,44863583,52187000,65412000,95505000,481.21,nationmaster,9.199999809,2717.735491,2954.076628,,60936509778,5.328057786,"Landwirtschaft, Blumen","agriculture, flowers",,,,13567.9,0.32,0.05888,0.04254,NA,,
Kiribati,KIR,D,X,84406,110470,122000,142000,178000,#N/A,,,1704.65503,1797.348699,,166762323.6,3.03030303,Fisch,fish,,,,62.3,0.58,0,0,NA,,
Kosovo,KSV,A,,1700000,1823149,1919000,2083000,2299000,#N/A,,,8537.350385,9228.292638,,7273849012,2.500543596,"Metalle, Mineralien","minerals, metals",,,,#N/A,#N/A,0.07775,0.06904,NA,,
Kuwait,KWT,B,X,1929470,3753121,4317000,4987000,5924000,2236.71,nationmaster,3.099999905,78454.09171,,,,,Kohlenwasserstoffe (Öl),hydrocarbons (oil),,,,91029.6,26.62,6.50212,6.28005,NA,,
Kyrgyzstan,KGZ,D,X,4898400,5834200,6414000,7149000,8363000,350,nationmaster,8,2921.359026,3322.219431,,7404412710,3.603036144,Gold,gold,,,,6615.3,1.18,0.15371,0.10928,895.07682,,
Lao People's Democratic Republic ,LAO,D,X,5342879,6689300,7398000,8489000,10172000,#N/A,,1.399999976,4578.841095,5320.350075,,11771725798,7.458020211,Reis,rice,,,,1202.8,0.19,0.12213,0.0491,554.46261,,
Latvia,LVA,D,X,2367550,1990351,1923000,1811000,1644000,713.11,nationmaster,11.10000038,21176.33829,23337.37696,,31920815648,2.361633257,"Maschinenbau, Fahrzeuge","machine construction, automobile",,,,7799.7,3.83,0.03876,0.03135,NA,33,
Lebanon,LBN,D,X,3235380,4546774,4398000,4646000,4721000,937.16,nationmaster,6.5,16871.07442,17462.19872,,45730945274,2,Schmuck,jewelerry,,,,20487.5,4.61,0.00949,0.00364,NA,,
Lesotho,LSO,D,X,1856225,2109197,2258000,2486000,2987000,1017.82,nationmaster,24.70000076,2426.390626,2599.796048,,2088021624,1.983419325,Bekleidung,garment,,,,2200.2,1.07,0.00462,0.00575,NA,,
Liberia,LBR,D,X,2891968,4396554,5091000,6414000,9436000,#N/A,,3.700000048,784.1516462,840.7034803,,2027000000,0.5,"Eisenerz, Kautschuk","ore, caotchouc",,,,891.1,0.21,0,0,NA,,
